Store,Date,Sales
4,2015-06-02,11222
4,2015-06-03,10621
4,2015-06-04,10200
4,2015-06-05,10416
4,2015-06-06,8218
4,2015-06-08,9640
4,2015-06-09,8002
4,2015-06-10,7445
4,2015-06-11,7407
4,2015-06-12,7889
4,2015-06-13,9779
4,2015-06-15,12398
4,2015-06-16,10671
4,2015-06-17,9685
4,2015-06-18,8880
4,2015-06-19,9686
4,2015-06-20,9374
4,2015-06-22,9118
4,2015-06-23,7635
4,2015-06-24,8048
4,2015-06-25,7111
4,2015-06-26,7684
4,2015-06-27,8989
4,2015-06-29,11692
4,2015-06-30,13106
4,2015-07-01,11216
4,2015-07-02,10323
4,2015-07-03,11543
4,2015-07-04,9358
4,2015-07-06,9967
4,2015-07-07,8127
4,2015-07-08,8620
4,2015-07-09,9093
4,2015-07-10,9177
4,2015-07-11,10996
4,2015-07-13,13550
4,2015-07-14,12315
4,2015-07-15,11126
4,2015-07-16,11432
4,2015-07-17,10514
4,2015-07-18,9703
4,2015-07-20,10283
4,2015-07-21,9176
4,2015-07-22,8503
4,2015-07-23,7286
4,2015-07-24,8322
4,2015-07-25,9322
4,2015-07-27,11812
4,2015-07-28,10275
4,2015-07-29,10514
4,2015-07-30,10387
4,2015-07-31,13995
5,2015-05-22,4813
5,2015-05-23,2151
5,2015-05-26,4567
5,2015-05-27,4431
5,2015-05-28,4134
5,2015-05-29,5833
5,2015-05-30,2533
5,2015-06-01,8396
5,2015-06-02,6416
5,2015-06-03,5703
5,2015-06-04,5807
5,2015-06-05,5431
5,2015-06-06,1838
5,2015-06-08,4260
5,2015-06-09,3999
5,2015-06-10,4191
5,2015-06-11,4082
5,2015-06-12,4329
5,2015-06-13,2156
5,2015-06-15,7808
5,2015-06-16,6354
5,2015-06-17,5632
5,2015-06-18,4924
5,2015-06-19,5711
5,2015-06-20,2088
5,2015-06-22,3827
5,2015-06-23,3697
5,2015-06-24,4134
5,2015-06-25,3325
5,2015-06-26,3799
5,2015-06-27,1876
5,2015-06-29,7623
5,2015-06-30,6635
5,2015-07-01,6253
5,2015-07-02,6035
5,2015-07-03,4475
5,2015-07-04,2240
5,2015-07-06,4328
5,2015-07-07,4036
5,2015-07-08,4990
5,2015-07-09,4601
5,2015-07-10,4252
5,2015-07-11,2023
5,2015-07-13,7425
5,2015-07-14,6144
5,2015-07-15,6323
5,2015-07-16,4963
5,2015-07-17,4355
5,2015-07-18,2108
5,2015-07-20,4183
5,2015-07-21,3497
5,2015-07-22,3595
5,2015-07-23,3713
5,2015-07-24,3815
5,2015-07-25,2030
5,2015-07-27,7059
5,2015-07-28,6083
5,2015-07-29,5899
5,2015-07-30,4943
5,2015-07-31,4822
6,2015-05-22,6133
6,2015-05-23,3253
6,2015-05-26,4574
6,2015-05-27,4573
6,2015-05-28,4754
6,2015-05-29,5435
6,2015-05-30,3756
6,2015-06-01,7054
6,2015-06-02,6887
6,2015-06-03,5960
6,2015-06-04,5749
6,2015-06-05,5393
6,2015-06-06,2800
6,2015-06-08,4426
6,2015-06-09,4223
6,2015-06-10,4326
6,2015-06-11,4047
6,2015-06-12,4070
6,2015-06-13,2812
6,2015-06-15,7147
6,2015-06-16,5804
6,2015-06-17,5135
6,2015-06-18,4405
6,2015-06-19,5464
6,2015-06-20,2793
6,2015-06-22,3641
6,2015-06-23,3829
6,2015-06-24,3970
6,2015-06-25,3861
6,2015-06-26,4215
6,2015-06-27,3078
6,2015-06-29,6995
6,2015-06-30,7427
6,2015-07-01,5804
6,2015-07-02,5335
6,2015-07-03,4594
6,2015-07-04,2979
6,2015-07-06,4508
6,2015-07-07,4021
6,2015-07-08,4072
6,2015-07-09,4095
6,2015-07-10,4530
6,2015-07-11,3134
6,2015-07-13,6827
6,2015-07-14,5758
6,2015-07-15,4582
6,2015-07-16,5115
6,2015-07-17,4422
6,2015-07-18,2915
6,2015-07-20,4301
6,2015-07-21,3720
6,2015-07-22,3469
6,2015-07-23,3482
6,2015-07-24,3804
6,2015-07-25,2892
6,2015-07-27,5723
6,2015-07-28,4839
6,2015-07-29,5275
6,2015-07-30,4790
6,2015-07-31,5651
7,2015-05-22,9488
7,2015-05-23,7434
7,2015-05-26,8671
7,2015-05-27,8567
7,2015-05-28,7984
7,2015-05-29,10618
7,2015-05-30,6428
7,2015-06-01,14160
7,2015-06-02,12486
7,2015-06-03,9541
7,2015-06-04,9696
7,2015-06-05,9689
7,2015-06-06,6508
7,2015-06-08,8409
7,2015-06-09,8439
7,2015-06-10,6746
7,2015-06-11,7106
7,2015-06-12,8490
7,2015-06-13,6590
7,2015-06-15,13175
7,2015-06-16,11151
7,2015-06-17,9041
7,2015-06-18,8955
7,2015-06-19,9677
7,2015-06-20,5572
7,2015-06-22,7917
7,2015-06-23,7861
7,2015-06-24,6913
7,2015-06-25,6875
7,2015-06-26,7352
7,2015-06-27,6519
7,2015-06-29,13689
7,2015-06-30,14838
7,2015-07-01,11024
7,2015-07-02,10996
7,2015-07-03,11976
7,2015-07-04,6559
7,2015-07-06,10790
7,2015-07-07,9207
7,2015-07-08,9204
7,2015-07-09,9608
7,2015-07-10,9499
7,2015-07-11,6425
7,2015-07-13,13250
7,2015-07-14,12294
7,2015-07-15,10095
7,2015-07-16,10774
7,2015-07-17,10339
7,2015-07-18,6861
7,2015-07-20,10159
7,2015-07-21,9169
7,2015-07-22,8214
7,2015-07-23,9550
7,2015-07-24,9203
7,2015-07-25,6574
7,2015-07-27,14869
7,2015-07-28,12342
7,2015-07-29,12074
7,2015-07-30,11560
7,2015-07-31,15344
8,2015-05-22,6191
8,2015-05-23,3199
8,2015-05-26,6503
8,2015-05-27,5573
8,2015-05-28,6718
8,2015-05-29,6451
8,2015-05-30,4692
8,2015-06-01,10971
8,2015-06-02,8143
8,2015-06-03,7244
8,2015-06-04,7964
8,2015-06-05,5904
8,2015-06-06,3349
8,2015-06-08,6142
8,2015-06-09,5273
8,2015-06-10,5246
8,2015-06-11,5703
8,2015-06-12,5474
8,2015-06-13,3456
8,2015-06-15,9937
8,2015-06-16,8386
8,2015-06-17,7751
8,2015-06-18,7302
8,2015-06-19,6773
8,2015-06-20,3611
8,2015-06-22,4796
8,2015-06-23,5501
8,2015-06-24,5005
8,2015-06-25,5956
8,2015-06-26,5016
8,2015-06-27,3611
8,2015-06-29,10444
8,2015-06-30,9836
8,2015-07-01,8523
8,2015-07-02,8658
8,2015-07-03,6535
8,2015-07-04,3418
8,2015-07-06,6740
8,2015-07-07,5365
8,2015-07-08,5322
8,2015-07-09,5602
8,2015-07-10,6067
8,2015-07-11,3707
8,2015-07-13,9117
8,2015-07-14,8845
8,2015-07-15,7932
8,2015-07-16,8808
8,2015-07-17,6728
8,2015-07-18,3813
8,2015-07-20,5956
8,2015-07-21,5168
8,2015-07-22,4996
8,2015-07-23,6109
8,2015-07-24,4917
8,2015-07-25,3288
8,2015-07-27,8739
8,2015-07-28,6717
8,2015-07-29,7029
8,2015-07-30,8420
8,2015-07-31,8492
9,2015-05-21,7503
9,2015-05-22,7668
9,2015-05-23,6449
9,2015-05-26,8048
9,2015-05-27,5997
9,2015-05-28,6335
9,2015-05-29,7193
9,2015-05-30,7474
9,2015-06-01,12227
9,2015-06-02,10248
9,2015-06-03,9984
9,2015-06-05,9786
9,2015-06-06,7157
9,2015-06-08,7884
9,2015-06-09,7033
9,2015-06-10,5849
9,2015-06-11,6359
9,2015-06-12,6429
9,2015-06-13,6165
9,2015-06-15,11530
9,2015-06-16,9078
9,2015-06-17,8045
9,2015-06-18,8098
9,2015-06-19,7849
9,2015-06-20,6179
9,2015-06-22,6121
9,2015-06-23,5714
9,2015-06-24,6888
9,2015-06-25,6674
9,2015-06-26,6549
9,2015-06-27,7069
9,2015-06-29,13457
9,2015-06-30,10447
9,2015-07-01,8490
9,2015-07-02,8395
9,2015-07-03,8363
9,2015-07-04,6223
9,2015-07-06,7758
9,2015-07-07,6940
9,2015-07-08,5621
9,2015-07-09,6285
9,2015-07-10,6007
9,2015-07-11,5076
9,2015-07-13,10399
9,2015-07-14,7841
9,2015-07-15,7013
9,2015-07-16,8113
9,2015-07-17,6845
9,2015-07-18,5987
9,2015-07-20,7152
9,2015-07-21,5873
9,2015-07-22,5649
9,2015-07-23,6471
9,2015-07-24,5464
9,2015-07-25,5330
9,2015-07-27,10649
9,2015-07-28,8751
9,2015-07-29,7776
9,2015-07-30,7539
9,2015-07-31,8565
10,2015-05-22,6339
10,2015-05-23,5080
10,2015-05-26,6506
10,2015-05-27,6046
10,2015-05-28,5070
10,2015-05-29,6073
10,2015-05-30,5419
10,2015-06-01,7846
10,2015-06-02,7572
10,2015-06-03,6648
10,2015-06-04,6486
10,2015-06-05,5828
10,2015-06-06,5087
10,2015-06-08,6428
10,2015-06-09,5299
10,2015-06-10,5853
10,2015-06-11,5065
10,2015-06-12,5385
10,2015-06-13,5892
10,2015-06-15,7902
10,2015-06-16,6681
10,2015-06-17,6338
10,2015-06-18,5829
10,2015-06-19,6191
10,2015-06-20,4736
10,2015-06-22,4264
10,2015-06-23,5244
10,2015-06-24,4896
10,2015-06-25,5018
10,2015-06-26,4771
10,2015-06-27,4595
10,2015-06-29,8057
10,2015-06-30,8565
10,2015-07-01,7896
10,2015-07-02,6317
10,2015-07-03,5915
10,2015-07-04,5120
10,2015-07-06,6143
10,2015-07-07,5476
10,2015-07-08,4865
10,2015-07-09,4871
10,2015-07-10,5747
10,2015-07-11,4636
10,2015-07-13,6757
10,2015-07-14,7491
10,2015-07-15,6423
10,2015-07-16,6275
10,2015-07-17,5356
10,2015-07-18,5761
10,2015-07-20,6111
10,2015-07-21,6479
10,2015-07-22,5561
10,2015-07-23,6401
10,2015-07-24,6152
10,2015-07-25,4713
10,2015-07-27,7212
10,2015-07-28,6140
10,2015-07-29,5524
10,2015-07-30,6186
10,2015-07-31,7185
11,2015-05-22,7455
11,2015-05-23,5281
11,2015-05-26,7190
11,2015-05-27,6924
11,2015-05-28,7172
11,2015-05-29,8561
11,2015-05-30,6530
11,2015-06-01,11358
11,2015-06-02,7922
11,2015-06-03,9429
11,2015-06-04,8101
11,2015-06-05,7661
11,2015-06-06,5417
11,2015-06-08,7118
11,2015-06-09,6438
11,2015-06-10,7456
11,2015-06-11,6444
11,2015-06-12,6123
11,2015-06-13,5856
11,2015-06-15,9241
11,2015-06-16,8810
11,2015-06-17,8557
11,2015-06-18,6637
11,2015-06-19,6592
11,2015-06-20,5293
11,2015-06-22,6155
11,2015-06-23,6003
11,2015-06-24,5702
11,2015-06-25,6012
11,2015-06-26,6102
11,2015-06-27,6001
11,2015-06-29,11296
11,2015-06-30,11706
11,2015-07-01,9599
11,2015-07-02,7961
11,2015-07-03,7689
11,2015-07-04,5372
11,2015-07-06,7135
11,2015-07-07,6620
11,2015-07-08,6907
11,2015-07-09,6595
11,2015-07-10,6979
11,2015-07-11,5756
11,2015-07-13,10434
11,2015-07-14,9319
11,2015-07-15,9645
11,2015-07-16,8149
11,2015-07-17,7757
11,2015-07-18,5740
11,2015-07-20,7733
11,2015-07-21,6315
11,2015-07-22,7185
11,2015-07-23,6151
11,2015-07-24,6192
11,2015-07-25,4712
11,2015-07-27,8796
11,2015-07-28,6938
11,2015-07-29,8378
11,2015-07-30,7361
11,2015-07-31,10457
12,2015-05-22,8427
12,2015-05-23,5896
12,2015-05-26,7132
12,2015-05-27,6422
12,2015-05-28,5853
12,2015-05-29,7665
12,2015-05-30,7010
12,2015-06-01,13117
12,2015-06-02,10130
12,2015-06-03,10171
12,2015-06-04,8360
12,2015-06-05,8976
12,2015-06-06,5531
12,2015-06-08,6382
12,2015-06-09,5772
12,2015-06-10,6184
12,2015-06-11,5754
12,2015-06-12,5650
12,2015-06-13,6214
12,2015-06-15,12031
12,2015-06-16,9626
12,2015-06-17,10070
12,2015-06-18,8058
12,2015-06-19,8836
12,2015-06-20,6602
12,2015-06-22,5525
12,2015-06-23,6046
12,2015-06-24,5403
12,2015-06-25,6205
12,2015-06-26,6275
12,2015-06-27,6546
12,2015-06-29,13738
12,2015-06-30,13704
12,2015-07-01,7765
12,2015-07-02,7886
12,2015-07-03,7311
12,2015-07-04,5119
12,2015-07-06,6226
12,2015-07-07,5808
12,2015-07-08,6350
12,2015-07-09,6090
12,2015-07-10,6730
12,2015-07-11,6612
12,2015-07-13,11730
12,2015-07-14,9336
12,2015-07-15,10008
12,2015-07-16,9234
12,2015-07-17,7684
12,2015-07-18,7213
12,2015-07-20,6754
12,2015-07-21,6314
12,2015-07-22,6201
12,2015-07-23,5784
12,2015-07-24,6078
12,2015-07-25,5185
12,2015-07-27,10227
12,2015-07-28,8822
12,2015-07-29,9236
12,2015-07-30,7996
12,2015-07-31,8959
13,2015-05-21,4307
13,2015-05-22,4966
13,2015-05-23,4382
13,2015-05-26,5583
13,2015-05-27,3707
13,2015-05-28,3131
13,2015-05-29,4210
13,2015-05-30,5518
13,2015-06-01,7597
13,2015-06-02,5879
13,2015-06-03,5512
13,2015-06-05,6797
13,2015-06-06,3801
13,2015-06-08,4032
13,2015-06-09,3577
13,2015-06-10,3533
13,2015-06-11,4677
13,2015-06-12,3541
13,2015-06-13,4728
13,2015-06-15,7808
13,2015-06-16,7159
13,2015-06-17,5885
13,2015-06-18,5047
13,2015-06-19,5546
13,2015-06-20,4391
13,2015-06-22,2603
13,2015-06-23,3681
13,2015-06-24,3056
13,2015-06-25,5830
13,2015-06-26,3702
13,2015-06-27,4801
13,2015-06-29,6741
13,2015-06-30,6110
13,2015-07-01,6796
13,2015-07-02,5652
13,2015-07-03,8948
13,2015-07-04,3906
13,2015-07-06,3055
13,2015-07-07,3129
13,2015-07-08,3709
13,2015-07-09,4350
13,2015-07-10,3639
13,2015-07-11,4031
13,2015-07-13,7525
13,2015-07-14,6422
13,2015-07-15,10334
13,2015-07-16,5921
13,2015-07-17,5740
13,2015-07-18,4956
13,2015-07-20,3868
13,2015-07-21,3080
13,2015-07-22,3164
13,2015-07-23,3959
13,2015-07-24,3483
13,2015-07-25,4361
13,2015-07-27,7926
13,2015-07-28,6819
13,2015-07-29,6648
13,2015-07-30,7648
13,2015-07-31,8821
14,2015-05-21,6565
14,2015-05-22,6981
14,2015-05-23,3848
14,2015-05-26,5775
14,2015-05-27,5283
14,2015-05-28,5206
14,2015-05-29,6392
14,2015-05-30,3672
14,2015-06-01,8365
14,2015-06-02,7005
14,2015-06-03,6713
14,2015-06-05,7252
14,2015-06-06,3640
14,2015-06-08,6111
14,2015-06-09,5622
14,2015-06-10,4909
14,2015-06-11,5048
14,2015-06-12,5108
14,2015-06-13,3541
14,2015-06-15,8077
14,2015-06-16,7071
14,2015-06-17,6108
14,2015-06-18,5918
14,2015-06-19,6239
14,2015-06-20,3472
14,2015-06-22,4687
14,2015-06-23,5346
14,2015-06-24,5344
14,2015-06-25,5089
14,2015-06-26,5232
14,2015-06-27,3498
14,2015-06-29,8671
14,2015-06-30,10175
14,2015-07-01,5881
14,2015-07-02,6153
14,2015-07-03,6252
14,2015-07-04,3649
14,2015-07-06,5706
14,2015-07-07,4955
14,2015-07-08,4720
14,2015-07-09,5050
14,2015-07-10,4981
14,2015-07-11,3103
14,2015-07-13,7202
14,2015-07-14,6509
14,2015-07-15,6143
14,2015-07-16,6152
14,2015-07-17,5346
14,2015-07-18,3254
14,2015-07-20,4780
14,2015-07-21,4518
14,2015-07-22,4409
14,2015-07-23,4080
14,2015-07-24,4775
14,2015-07-25,2952
14,2015-07-27,6614
14,2015-07-28,5957
14,2015-07-29,5412
14,2015-07-30,5672
14,2015-07-31,6544
15,2015-05-22,7345
15,2015-05-23,5333
15,2015-05-26,6278
15,2015-05-27,6581
15,2015-05-28,7010
15,2015-05-29,8632
15,2015-05-30,7049
15,2015-06-01,10767
15,2015-06-02,7769
15,2015-06-03,8366
15,2015-06-04,7528
15,2015-06-05,7552
15,2015-06-06,6393
15,2015-06-08,6177
15,2015-06-09,5109
15,2015-06-10,5569
15,2015-06-11,5911
15,2015-06-12,5757
15,2015-06-13,5787
15,2015-06-15,8825
15,2015-06-16,8600
15,2015-06-17,7026
15,2015-06-18,6786
15,2015-06-19,7851
15,2015-06-20,5405
15,2015-06-22,5513
15,2015-06-23,5143
15,2015-06-24,5339
15,2015-06-25,4979
15,2015-06-26,6376
15,2015-06-27,6275
15,2015-06-29,11290
15,2015-06-30,11332
15,2015-07-01,6043
15,2015-07-02,7242
15,2015-07-03,7554
15,2015-07-04,5388
15,2015-07-06,5431
15,2015-07-07,5555
15,2015-07-08,5466
15,2015-07-09,5609
15,2015-07-10,6323
15,2015-07-11,5738
15,2015-07-13,8691
15,2015-07-14,7857
15,2015-07-15,7885
15,2015-07-16,8501
15,2015-07-17,9368
15,2015-07-18,5770
15,2015-07-20,6898
15,2015-07-21,5449
15,2015-07-22,4899
15,2015-07-23,5623
15,2015-07-24,5255
15,2015-07-25,5209
15,2015-07-27,9053
15,2015-07-28,7516
15,2015-07-29,7583
15,2015-07-30,8891
15,2015-07-31,9191
16,2015-05-21,8758
16,2015-05-22,9116
16,2015-05-23,6016
16,2015-05-26,8111
16,2015-05-27,6913
16,2015-05-28,7518
16,2015-05-29,7964
16,2015-05-30,5597
16,2015-06-01,11730
16,2015-06-02,10184
16,2015-06-03,9548
16,2015-06-05,10056
16,2015-06-06,5162
16,2015-06-08,7819
16,2015-06-09,7243
16,2015-06-10,7630
16,2015-06-11,7611
16,2015-06-12,6869
16,2015-06-13,5565
16,2015-06-15,10967
16,2015-06-16,10333
16,2015-06-17,9922
16,2015-06-18,7026
16,2015-06-19,8580
16,2015-06-20,5696
16,2015-06-22,7850
16,2015-06-23,7392
16,2015-06-24,6919
16,2015-06-25,6843
16,2015-06-26,6921
16,2015-06-27,4545
16,2015-06-29,12614
16,2015-06-30,11120
16,2015-07-01,10529
16,2015-07-02,8407
16,2015-07-03,9453
16,2015-07-04,5054
16,2015-07-06,8059
16,2015-07-07,6992
16,2015-07-08,8224
16,2015-07-09,6867
16,2015-07-10,7768
16,2015-07-11,5414
16,2015-07-13,11932
16,2015-07-14,9986
16,2015-07-15,10099
16,2015-07-16,7954
16,2015-07-17,7605
16,2015-07-18,5288
16,2015-07-20,7632
16,2015-07-21,7274
16,2015-07-22,6779
16,2015-07-23,7865
16,2015-07-24,7781
16,2015-07-25,6105
16,2015-07-27,10260
16,2015-07-28,9695
16,2015-07-29,9471
16,2015-07-30,10226
16,2015-07-31,10231
17,2015-05-22,5740
17,2015-05-23,2462
17,2015-05-26,6425
17,2015-05-27,5920
17,2015-05-28,5778
17,2015-05-29,7106
17,2015-05-30,3461
17,2015-06-01,10027
17,2015-06-02,9671
17,2015-06-03,7897
17,2015-06-04,7776
17,2015-06-05,6659
17,2015-06-06,2557
17,2015-06-08,5564
17,2015-06-09,5972
17,2015-06-10,5142
17,2015-06-11,4882
17,2015-06-12,4759
17,2015-06-13,2491
17,2015-06-15,10137
17,2015-06-16,8129
17,2015-06-17,7672
17,2015-06-18,7241
17,2015-06-19,6820
17,2015-06-20,2480
17,2015-06-22,4926
17,2015-06-23,5203
17,2015-06-24,4524
17,2015-06-25,4403
17,2015-06-26,4728
17,2015-06-27,2466
17,2015-06-29,10474
17,2015-06-30,11774
17,2015-07-01,6779
17,2015-07-02,6084
17,2015-07-03,5948
17,2015-07-04,2592
17,2015-07-06,5446
17,2015-07-07,5184
17,2015-07-08,5876
17,2015-07-09,5478
17,2015-07-10,5451
17,2015-07-11,3034
17,2015-07-13,10029
17,2015-07-14,8241
17,2015-07-15,8172
17,2015-07-16,7231
17,2015-07-17,6243
17,2015-07-18,2608
17,2015-07-20,5908
17,2015-07-21,5847
17,2015-07-22,4952
17,2015-07-23,5328
17,2015-07-24,4443
17,2015-07-25,2572
17,2015-07-27,8293
17,2015-07-28,9316
17,2015-07-29,7179
17,2015-07-30,7555
17,2015-07-31,8430
18,2015-05-22,7619
18,2015-05-23,4284
18,2015-05-26,6542
18,2015-05-27,6072
18,2015-05-28,6309
18,2015-05-29,8983
18,2015-05-30,6442
18,2015-06-01,10373
18,2015-06-02,8649
18,2015-06-03,7966
18,2015-06-04,7727
18,2015-06-05,8233
18,2015-06-06,4740
18,2015-06-08,6476
18,2015-06-09,6297
18,2015-06-10,5973
18,2015-06-11,5210
18,2015-06-12,7273
18,2015-06-13,4437
18,2015-06-15,10402
18,2015-06-16,8488
18,2015-06-17,8194
18,2015-06-18,7818
18,2015-06-19,8270
18,2015-06-20,4671
18,2015-06-22,5818
18,2015-06-23,5755
18,2015-06-24,6034
18,2015-06-25,6160
18,2015-06-26,6182
18,2015-06-27,4598
18,2015-06-29,11224
18,2015-06-30,10838
18,2015-07-01,7215
18,2015-07-02,7971
18,2015-07-03,7810
18,2015-07-04,5001
18,2015-07-06,6614
18,2015-07-07,5627
18,2015-07-08,6676
18,2015-07-09,6382
18,2015-07-10,7818
18,2015-07-11,4940
18,2015-07-13,9887
18,2015-07-14,7632
18,2015-07-15,7933
18,2015-07-16,6887
18,2015-07-17,7660
18,2015-07-18,4677
18,2015-07-20,6336
18,2015-07-21,5207
18,2015-07-22,5940
18,2015-07-23,6450
18,2015-07-24,6409
18,2015-07-25,4416
18,2015-07-27,10055
18,2015-07-28,7704
18,2015-07-29,7833
18,2015-07-30,7361
18,2015-07-31,10071
19,2015-05-21,7456
19,2015-05-22,7316
19,2015-05-23,4505
19,2015-05-26,7079
19,2015-05-27,6518
19,2015-05-28,6859
19,2015-05-29,8309
19,2015-05-30,5413
19,2015-06-01,9405
19,2015-06-02,8063
19,2015-06-03,9616
19,2015-06-05,9568
19,2015-06-06,5400
19,2015-06-08,6755
19,2015-06-09,6615
19,2015-06-10,5965
19,2015-06-11,5856
19,2015-06-12,5963
19,2015-06-13,5288
19,2015-06-15,10181
19,2015-06-16,8467
19,2015-06-17,9076
19,2015-06-18,7911
19,2015-06-19,8508
19,2015-06-20,4801
19,2015-06-22,5808
19,2015-06-23,6162
19,2015-06-24,6725
19,2015-06-25,5268
19,2015-06-26,6505
19,2015-06-27,4732
19,2015-06-29,11782
19,2015-06-30,9628
19,2015-07-01,8679
19,2015-07-02,7493
19,2015-07-03,7619
19,2015-07-04,4013
19,2015-07-06,6542
19,2015-07-07,5873
19,2015-07-08,5350
19,2015-07-09,5230
19,2015-07-10,5531
19,2015-07-11,3718
19,2015-07-13,9689
19,2015-07-14,8545
19,2015-07-15,7485
19,2015-07-16,7328
19,2015-07-17,6384
19,2015-07-18,4795
19,2015-07-20,6635
19,2015-07-21,5362
19,2015-07-22,4826
19,2015-07-23,5465
19,2015-07-24,5330
19,2015-07-25,3562
19,2015-07-27,8825
19,2015-07-28,7717
19,2015-07-29,7182
19,2015-07-30,8400
19,2015-07-31,8234
20,2015-05-21,10003
20,2015-05-22,8969
20,2015-05-23,6157
20,2015-05-26,9341
20,2015-05-27,8899
20,2015-05-28,9447
20,2015-05-29,7132
20,2015-05-30,7484
20,2015-06-01,11255
20,2015-06-02,10534
20,2015-06-03,9814
20,2015-06-05,8704
20,2015-06-06,5442
20,2015-06-08,8608
20,2015-06-09,8753
20,2015-06-10,7826
20,2015-06-11,9130
20,2015-06-12,7282
20,2015-06-13,6302
20,2015-06-15,8315
20,2015-06-16,10223
20,2015-06-17,9647
20,2015-06-18,9105
20,2015-06-19,8505
20,2015-06-20,5199
